# Youyue 858D+ with V1.45 firmware 22.03.2016
# 7mm nozzle, measured coaxially right at the exit 
# fanspeed: 4.5
# ----  setpoint / °C ---- ADC / raw ---- measured / °C ----

50	18	56
60	28	66
70	38	77
80	48	87
90	58	97
100	68	108
110	78	120
120	88	129
130	98	140
140	108	150
150	118	160
160	128	171
170	138	181
180	148	190
190	158	201
200	168	211
220	188	230
240	208	251
260	228	270
280	248	291
300	268	310
320	288	330
340	308	350
360	328	368
380	348	386
400	368	403
420	388	419
440	408	438
460	428	457
480	448	471
500	468	486
